Electron + Photon:

Event: 286269579, Run = 275913, Lumi = 142, met = 234.69, phoEt = 44.5718, HT = 652.432
Event: 469731667, Run = 276097, Lumi = 243, met = 147.13, phoEt = 113.668, HT = 325.377
Event: 175999928, Run = 276097, Lumi = 98, met = 147.175, phoEt = 39.8335, HT = 0
Event: 402462349, Run = 275920, Lumi = 221, met = 178.652, phoEt = 39.2809, HT = 105.911
Event: 356205165, Run = 276283, Lumi = 184, met = 135.361, phoEt = 38.7576, HT = 0
Event: 755933812, Run = 276242, Lumi = 406, met = 146.12, phoEt = 121.132, HT = 270.198
Event: 476401107, Run = 276097, Lumi = 247, met = 134.779, phoEt = 35.5077, HT = 145.563
Event: 457049177, Run = 276097, Lumi = 237, met = 136.722, phoEt = 45.3593, HT = 255.891
Event: 67438012, Run = 276242, Lumi = 38, met = 126.017, phoEt = 73.2778, HT = 123.623
Event: 1220566019, Run = 276244, Lumi = 818, met = 137.087, phoEt = 43.8722, HT = 74.435
Event: 580581910, Run = 276242, Lumi = 309, met = 135.844, phoEt = 107.261, HT = 0
Event: 2119994093, Run = 276242, Lumi = 1115, met = 140.257, phoEt = 150.039, HT = 274.8
Event: 90632683, Run = 276243, Lumi = 52, met = 169.421, phoEt = 48.1324, HT = 0
Event: 1459860068, Run = 276282, Lumi = 829, met = 200.936, phoEt = 60.9086, HT = 0
Event: 378511283, Run = 276282, Lumi = 263, met = 162.842, phoEt = 40.5865, HT = 110.099
Event: 1748193694, Run = 276282, Lumi = 990, met = 141.43, phoEt = 105.895, HT = 199.534
Event: 214430997, Run = 276282, Lumi = 168, met = 140.082, phoEt = 51.1859, HT = 80.0942
Event: 364486764, Run = 276282, Lumi = 251, met = 142.133, phoEt = 62.2533, HT = 75.6667
Event: 1754577804, Run = 276282, Lumi = 993, met = 154.456, phoEt = 131.344, HT = 867.351
Event: 1278503632, Run = 276437, Lumi = 741, met = 209.174, phoEt = 42.0796, HT = 331.977
Event: 291191909, Run = 276437, Lumi = 216, met = 122.346, phoEt = 168.791, HT = 150.852
Event: 102754557, Run = 276317, Lumi = 55, met = 170.925, phoEt = 78.0141, HT = 34.4412
Event: 357653581, Run = 276318, Lumi = 202, met = 128.706, phoEt = 62.59, HT = 282.808
Event: 237698830, Run = 276315, Lumi = 159, met = 129.518, phoEt = 74.7512, HT = 0
Event: 2320248602, Run = 276363, Lumi = 1316, met = 174.333, phoEt = 40.6347, HT = 531.299
Event: 152422038, Run = 276775, Lumi = 157, met = 126.367, phoEt = 67.5401, HT = 31.6223
Event: 275494887, Run = 276454, Lumi = 171, met = 135.289, phoEt = 55.2336, HT = 382.747
Event: 1444858372, Run = 276363, Lumi = 802, met = 210.225, phoEt = 49.8294, HT = 218.132
Event: 965217567, Run = 276361, Lumi = 515, met = 165.034, phoEt = 62.7483, HT = 261.932
Event: 925763661, Run = 276437, Lumi = 543, met = 178.82, phoEt = 64.1246, HT = 335.602
Event: 133995200, Run = 276317, Lumi = 72, met = 128.914, phoEt = 120.962, HT = 0
Event: 237218412, Run = 276318, Lumi = 133, met = 198.152, phoEt = 105.812, HT = 54.5993
Event: 750505608, Run = 276794, Lumi = 566, met = 155.949, phoEt = 65.6723, HT = 101.211
Event: 376665969, Run = 276318, Lumi = 213, met = 144.026, phoEt = 134.122, HT = 102.64
Event: 802191490, Run = 276361, Lumi = 433, met = 147.739, phoEt = 147.2, HT = 47.3723
Event: 520730336, Run = 276363, Lumi = 292, met = 174.094, phoEt = 157.352, HT = 693.853
Event: 3253116371, Run = 276525, Lumi = 1886, met = 135.14, phoEt = 59.5253, HT = 110.069
Event: 404970337, Run = 276458, Lumi = 320, met = 173.041, phoEt = 68.78, HT = 378.479
Event: 164037392, Run = 276437, Lumi = 146, met = 160.388, phoEt = 114.692, HT = 0
Event: 3566833239, Run = 276501, Lumi = 2136, met = 121.243, phoEt = 103.133, HT = 0
Event: 1226813861, Run = 276525, Lumi = 746, met = 128.164, phoEt = 79.545, HT = 188.937
Event: 453949589, Run = 276454, Lumi = 283, met = 248.902, phoEt = 288.2, HT = 244.475
Event: 1572635724, Run = 276361, Lumi = 818, met = 140.413, phoEt = 61.4333, HT = 76.35
Event: 1462287398, Run = 276363, Lumi = 811, met = 182.972, phoEt = 44.9085, HT = 405.753
Event: 127518690, Run = 276501, Lumi = 77, met = 122.091, phoEt = 60.8958, HT = 82.0776
Event: 570171601, Run = 276363, Lumi = 321, met = 149.166, phoEt = 61.257, HT = 175.104
Event: 814785300, Run = 276542, Lumi = 495, met = 257.327, phoEt = 36.7385, HT = 168.957
Event: 2505626570, Run = 276363, Lumi = 1430, met = 173.291, phoEt = 198.005, HT = 430.532
Event: 3150702928, Run = 276437, Lumi = 1775, met = 285.353, phoEt = 46.5131, HT = 0
Event: 228999761, Run = 276585, Lumi = 142, met = 162.524, phoEt = 52.0552, HT = 240.607
Event: 2316111409, Run = 276437, Lumi = 1269, met = 228.721, phoEt = 66.3254, HT = 427.43
Event: 194260758, Run = 276587, Lumi = 127, met = 128.327, phoEt = 40.9974, HT = 136.737
Event: 80138521, Run = 276501, Lumi = 50, met = 147.052, phoEt = 118.251, HT = 37.1274
Event: 678962324, Run = 276525, Lumi = 443, met = 144.76, phoEt = 75.5828, HT = 123.73
Event: 796046972, Run = 276501, Lumi = 495, met = 138.312, phoEt = 79.5206, HT = 0
Event: 777483291, Run = 276501, Lumi = 484, met = 135.767, phoEt = 96.0075, HT = 0
Event: 2422829460, Run = 276501, Lumi = 1441, met = 142.874, phoEt = 61.6712, HT = 127.365
Event: 194382024, Run = 276501, Lumi = 117, met = 174.02, phoEt = 129.677, HT = 188.761
Event: 2028356421, Run = 276501, Lumi = 1206, met = 140.276, phoEt = 107.229, HT = 129.808
Event: 1419293567, Run = 276501, Lumi = 872, met = 222.716, phoEt = 53.9237, HT = 332.916
Event: 1408311174, Run = 276501, Lumi = 867, met = 128.26, phoEt = 157.478, HT = 68.7524
Event: 2640957633, Run = 276501, Lumi = 1577, met = 134.287, phoEt = 102.517, HT = 82.9422
Event: 621586656, Run = 276502, Lumi = 409, met = 175.298, phoEt = 228.812, HT = 354.572
Event: 1560936212, Run = 276525, Lumi = 921, met = 311.846, phoEt = 56.1801, HT = 89.1054
Event: 643921364, Run = 276542, Lumi = 405, met = 141.51, phoEt = 84.3583, HT = 581.629
Event: 90940842, Run = 276527, Lumi = 66, met = 169.015, phoEt = 37.3329, HT = 228.368
Event: 456970142, Run = 276528, Lumi = 359, met = 144.543, phoEt = 282.501, HT = 284.19
Event: 2435547503, Run = 276525, Lumi = 1431, met = 142.095, phoEt = 37.1146, HT = 118.759
Event: 2575813179, Run = 276525, Lumi = 1514, met = 131.731, phoEt = 131.665, HT = 114.663
Event: 3168832234, Run = 276525, Lumi = 1838, met = 230.502, phoEt = 126.327, HT = 858.301
Event: 303632007, Run = 276582, Lumi = 168, met = 391.607, phoEt = 254.541, HT = 917.361
Event: 457633938, Run = 276582, Lumi = 257, met = 143.061, phoEt = 46.9259, HT = 527.769
Event: 82080872, Run = 276528, Lumi = 65, met = 122.691, phoEt = 35.4765, HT = 44.8224
